Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
EDS consolidated db (QD facet) no6	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no6	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no7	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no7	EBSCO	EBSCOhost	Searches-federated and automated	1378	383	318	343	334
EDS consolidated db (QD facet) no7	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no7	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no8	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no8	EBSCO	EBSCOhost	Searches-federated and automated	1406	385	323	357	341
EDS consolidated db (QD facet) no8	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no8	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no9	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no9	EBSCO	EBSCOhost	Searches-federated and automated	1379	383	318	344	334
EDS consolidated db (QD facet) no9	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no9	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (academicbasecustomizer)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (academicbasecustomizer)	EBSCO	EBSCOhost	Searches-federated and automated	1407	383	325	357	342
EDS consolidated db (academicbasecustomizer)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (academicbasecustomizer)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db 3 (EDSBaseCustomizer)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db 3 (EDSBaseCustomizer)	EBSCO	EBSCOhost	Searches-federated and automated	1405	384	323	357	341
EDS consolidated db 3 (EDSBaseCustomizer)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db 3 (EDSBaseCustomizer)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidation db #1 (coneds1)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidation db #1 (coneds1)	EBSCO	EBSCOhost	Searches-federated and automated	1406	383	325	357	341
EDS consolidation db #1 (coneds1)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidation db #1 (coneds1)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
ERIC	EBSCO	EBSCOhost	Regular Searches	253	43	144	28	38
ERIC	EBSCO	EBSCOhost	Searches-federated and automated	289430	76406	72298	72993	67733
ERIC	EBSCO	EBSCOhost	Result Clicks	96	41	22	7	26
ERIC	EBSCO	EBSCOhost	Record Views	252	77	55	46	74
Education Source	EBSCO	EBSCOhost	Regular Searches	322	47	161	61	53
Education Source	EBSCO	EBSCOhost	Searches-federated and automated	284517	76415	70994	71091	66017
Education Source	EBSCO	EBSCOhost	Result Clicks	205	61	50	52	42
Education Source	EBSCO	EBSCOhost	Record Views	226	64	54	57	51
Eighteenth Century Collections Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Eighteenth Century Collections Online	EBSCO	EBSCOhost	Searches-federated and automated	283961	76202	70876	70994	65889
Eighteenth Century Collections Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Eighteenth Century Collections Online	EBSCO	EBSCOhost	Record Views	3	0	1	2	0
Emerald Insight	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Emerald Insight	EBSCO	EBSCOhost	Searches-federated and automated	287871	75991	71937	72607	67336
Emerald Insight	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Emerald Insight	EBSCO	EBSCOhost	Record Views	80	12	32	21	15
Encyclopedia of the Bible and its Reception Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Encyclopedia of the Bible and its Reception Online	EBSCO	EBSCOhost	Searches-federated and automated	282600	75823	70566	70650	65561
Encyclopedia of the Bible and its Reception Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Encyclopedia of the Bible and its Reception Online	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Europeana	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
